,label,yc,xc
0,1,147.46094839609484,47.343793584379355
1,2,142.51131221719456,822.9751131221719
2,3,220.7279569892473,362.6225806451613
3,4,270.8510638297872,1679.3382978723405
4,5,317.4048697621744,1243.4909399773499
5,6,620.4298969072165,742.9123711340206
6,7,633.7222222222222,21.81111111111111
7,8,763.1122448979592,1529.0408163265306
8,9,760.589790897909,296.7029520295203
9,10,1093.2667342799189,1136.761663286004
10,11,1165.513029315961,404.14122847836205
11,12,1192.0233933161953,848.1303341902313
12,13,1355.767657992565,1747.6437422552665
13,14,1552.9936487078405,1163.65505913272
14,15,1654.612926477655,1565.5807304180682
15,16,1693.1851738865162,73.16564978645516
16,17,1765.2214745465185,481.8674663545933
17,18,1759.2978596908442,1971.8495838287752
